gloss,video_id,url,split,signer_id,local_path,available,opened
help,27194,https://www.youtube.com/watch?v=SiBub8VD5wo,test,9,data\raw\wlasl_mirror\videos\27194.mp4,True,True
help,69364,http://aslbricks.org/New/ASL-Videos/help.mp4,val,115,data\raw\wlasl_mirror\videos\69364.mp4,True,True
help,27219,https://www.youtube.com/watch?v=RStYX5OXPjE,val,65,,False,False
help,27220,http://www.aslpro.com/main/h/help.swf,val,30,,False,False
help,27221,http://www.aslsearch.com/signs/videos/help.mp4,train,12,,False,False
help,27206,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/help.mp4,train,36,data\raw\wlasl_mirror\videos\27206.mp4,True,True
help,27207,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Stamp%2C%20Help-2bSAr25HPXY.mp4,train,4,data\raw\wlasl_mirror\videos\27207.mp4,True,True
help,27208,https://media.asldeafined.com/vocabulary/1468580671.3652.mp4,train,21,data\raw\wlasl_mirror\videos\27208.mp4,True,True
help,27209,https://media.asldeafined.com/vocabulary/1471136062.8464.mp4,test,17,data\raw\wlasl_mirror\videos\27209.mp4,True,True
help,27210,https://www.handspeak.com/word/h/help2.mp4,train,14,,False,False
help,27211,https://www.handspeak.com/word/h/help-me.mp4,train,20,,False,False
help,27212,https://www.handspeak.com/word/h/help.mp4,train,20,,False,False
help,65890,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/HE/HELP-2562.mp4,train,90,,False,False
help,27213,https://www.signingsavvy.com/signs/mp4/23/23431.mp4,test,10,,False,False
help,27214,https://www.signingsavvy.com/signs/mp4/5/5871.mp4,train,11,,False,False
help,65891,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/HE/HELP-2563.mp4,val,90,,False,False
help,65889,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/HE/HELP-483.mp4,train,90,,False,False
help,67757,https://youtu.be/OWXmFhatan8,train,109,,False,False
help,27215,https://www.signingsavvy.com/signs/mp4/6/6389.mp4,train,11,,False,False
help,27216,https://www.signingsavvy.com/signs/mp4/9/9918.mp4,train,11,,False,False
help,27217,https://www.signingsavvy.com/signs/mp4/9/9936.mp4,train,11,,False,False
help,27218,https://www.youtube.com/watch?v=l31UXgChCS4,train,65,,False,False
no,38482,https://www.youtube.com/watch?v=1_jXxjd0lKE,test,9,data\raw\wlasl_mirror\videos\38482.mp4,True,True
no,69411,http://aslbricks.org/New/ASL-Videos/no.mp4,val,118,data\raw\wlasl_mirror\videos\69411.mp4,True,True
no,68110,https://www.youtube.com/watch?v=BqmquW0f1ok,val,109,data\raw\wlasl_mirror\videos\68110.mp4,True,True
no,68406,https://www.youtube.com/watch?v=Dd95RFhtSs4,val,112,,False,False
no,38539,https://www.youtube.com/watch?v=nyUDOPmQlZQ,train,47,data\raw\wlasl_mirror\videos\38539.mp4,True,True
no,38540,https://www.youtube.com/watch?v=pkzfT9cYvH0,train,5,data\raw\wlasl_mirror\videos\38540.mp4,True,True
no,38541,https://www.youtube.com/watch?v=QJXKaOSyl4o,train,5,data\raw\wlasl_mirror\videos\38541.mp4,True,True
