video_id,label,signer_id,source_dataset,split_original,path,num_frames,is_augmented
03053,appointment,wlasl_9,WLASL,val,data/selected/landmarks/appointment/03053_orig.npy,43,False
03058,appointment,wlasl_46,WLASL,test,data/selected/landmarks/appointment/03058_orig.npy,41,False
03060,appointment,wlasl_13,WLASL,test,data/selected/landmarks/appointment/03060_orig.npy,74,False
03053_aug_0,appointment,wlasl_9,WLASL_AUG,val,data/selected/landmarks/appointment/03053_aug_0_speed_fast.npy,36,True
03056_aug_1,appointment,wlasl_2,WLASL_AUG,train,data/selected/landmarks/appointment/03056_aug_1_speed_slow.npy,80,True
03058_aug_2,appointment,wlasl_46,WLASL_AUG,test,data/selected/landmarks/appointment/03058_aug_2_jitter.npy,41,True
03060_aug_3,appointment,wlasl_13,WLASL_AUG,test,data/selected/landmarks/appointment/03060_aug_3_scale_rotate.npy,74,True
70155_aug_4,appointment,wlasl_121,WLASL_AUG,train,data/selected/landmarks/appointment/70155_aug_4_speed_fast.npy,14,True
03053_aug_0_aug_5,appointment,wlasl_9,WLASL_AUG_AUG,val,data/selected/landmarks/appointment/03053_aug_0_aug_5_speed_slow.npy,41,True
03056_aug_1_aug_6,appointment,wlasl_2,WLASL_AUG_AUG,train,data/selected/landmarks/appointment/03056_aug_1_aug_6_jitter.npy,80,True
03058_aug_2_aug_7,appointment,wlasl_46,WLASL_AUG_AUG,test,data/selected/landmarks/appointment/03058_aug_2_aug_7_scale_rotate.npy,41,True
03060_aug_3_aug_8,appointment,wlasl_13,WLASL_AUG_AUG,test,data/selected/landmarks/appointment/03060_aug_3_aug_8_speed_fast.npy,62,True
70155_aug_4_aug_9,appointment,wlasl_121,WLASL_AUG_AUG,train,data/selected/landmarks/appointment/70155_aug_4_aug_9_speed_slow.npy,16,True
03053_aug_0_aug_5_aug_10,appointment,wlasl_9,WLASL_AUG_AUG_AUG,val,data/selected/landmarks/appointment/03053_aug_0_aug_5_aug_10_jitter.npy,41,True
03056_aug_1_aug_6_aug_11,appointment,wlasl_2,WLASL_AUG_AUG_AUG,train,data/selected/landmarks/appointment/03056_aug_1_aug_6_aug_11_scale_rotate.npy,80,True
03058_aug_2_aug_7_aug_12,appointment,wlasl_46,WLASL_AUG_AUG_AUG,test,data/selected/landmarks/appointment/03058_aug_2_aug_7_aug_12_speed_fast.npy,34,True
03060_aug_3_aug_8_aug_13,appointment,wlasl_13,WLASL_AUG_AUG_AUG,test,data/selected/landmarks/appointment/03060_aug_3_aug_8_aug_13_speed_slow.npy,71,True
70155_aug_4_aug_9_aug_14,appointment,wlasl_121,WLASL_AUG_AUG_AUG,train,data/selected/landmarks/appointment/70155_aug_4_aug_9_aug_14_jitter.npy,16,True
03053_aug_0_aug_5_aug_10_aug_15,appointment,wlasl_9,WLASL_AUG_AUG_AUG_AUG,val,data/selected/landmarks/appointment/03053_aug_0_aug_5_aug_10_aug_15_scale_rotate.npy,41,True
03056_aug_1_aug_6_aug_11_aug_16,appointment,wlasl_2,WLASL_AUG_AUG_AUG_AUG,train,data/selected/landmarks/appointment/03056_aug_1_aug_6_aug_11_aug_16_speed_fast.npy,68,True
03058_aug_2_aug_7_aug_12_aug_17,appointment,wlasl_46,WLASL_AUG_AUG_AUG_AUG,test,data/selected/landmarks/appointment/03058_aug_2_aug_7_aug_12_aug_17_speed_slow.npy,39,True
03060_aug_3_aug_8_aug_13_aug_18,appointment,wlasl_13,WLASL_AUG_AUG_AUG_AUG,test,data/selected/landmarks/appointment/03060_aug_3_aug_8_aug_13_aug_18_jitter.npy,71,True
70155_aug_4_aug_9_aug_14_aug_19,appointment,wlasl_121,WLASL_AUG_AUG_AUG_AUG,train,data/selected/landmarks/appointment/70155_aug_4_aug_9_aug_14_aug_19_scale_rotate.npy,16,True
03053_aug_0_aug_5_aug_10_aug_15_aug_20,appointment,wlasl_9,WLASL_AUG_AUG_AUG_AUG_AUG,val,data/selected/landmarks/appointment/03053_aug_0_aug_5_aug_10_aug_15_aug_20_speed_fast.npy,34,True
03056_aug_1_aug_6_aug_11_aug_16_aug_21,appointment,wlasl_2,WLASL_AUG_AUG_AUG_AUG_AUG,train,data/selected/landmarks/appointment/03056_aug_1_aug_6_aug_11_aug_16_aug_21_speed_slow.npy,78,True
03058_aug_2_aug_7_aug_12_aug_17_aug_22,appointment,wlasl_46,WLASL_AUG_AUG_AUG_AUG_AUG,test,data/selected/landmarks/appointment/03058_aug_2_aug_7_aug_12_aug_17_aug_22_jitter.npy,39,True
17007,doctor,wlasl_9,WLASL,train,data/selected/landmarks/doctor/17007_orig.npy,50,False
17022,doctor,wlasl_5,WLASL,val,data/selected/landmarks/doctor/17022_orig.npy,60,False
17023,doctor,wlasl_5,WLASL,val,data/selected/landmarks/doctor/17023_orig.npy,47,False
17017,doctor,wlasl_21,WLASL,train,data/selected/landmarks/doctor/17017_orig.npy,49,False
17016,doctor,wlasl_60,WLASL,val,data/selected/landmarks/doctor/17016_orig.npy,52,False
17007_aug_0,doctor,wlasl_9,WLASL_AUG,train,data/selected/landmarks/doctor/17007_aug_0_speed_fast.npy,42,True
17013_aug_1,doctor,wlasl_8,WLASL_AUG,train,data/selected/landmarks/doctor/17013_aug_1_speed_slow.npy,57,True
17016_aug_2,doctor,wlasl_60,WLASL_AUG,val,data/selected/landmarks/doctor/17016_aug_2_jitter.npy,52,True
17017_aug_3,doctor,wlasl_21,WLASL_AUG,train,data/selected/landmarks/doctor/17017_aug_3_scale_rotate.npy,49,True
17022_aug_4,doctor,wlasl_5,WLASL_AUG,val,data/selected/landmarks/doctor/17022_aug_4_speed_fast.npy,51,True
17023_aug_5,doctor,wlasl_5,WLASL_AUG,val,data/selected/landmarks/doctor/17023_aug_5_speed_slow.npy,54,True
70049_aug_6,doctor,wlasl_121,WLASL_AUG,train,data/selected/landmarks/doctor/70049_aug_6_jitter.npy,53,True
17007_aug_0_aug_7,doctor,wlasl_9,WLASL_AUG_AUG,train,data/selected/landmarks/doctor/17007_aug_0_aug_7_scale_rotate.npy,42,True
17013_aug_1_aug_8,doctor,wlasl_8,WLASL_AUG_AUG,train,data/selected/landmarks/doctor/17013_aug_1_aug_8_speed_fast.npy,48,True
17016_aug_2_aug_9,doctor,wlasl_60,WLASL_AUG_AUG,val,data/selected/landmarks/doctor/17016_aug_2_aug_9_speed_slow.npy,59,True
17017_aug_3_aug_10,doctor,wlasl_21,WLASL_AUG_AUG,train,data/selected/landmarks/doctor/17017_aug_3_aug_10_jitter.npy,49,True
17022_aug_4_aug_11,doctor,wlasl_5,WLASL_AUG_AUG,val,data/selected/landmarks/doctor/17022_aug_4_aug_11_scale_rotate.npy,51,True
17023_aug_5_aug_12,doctor,wlasl_5,WLASL_AUG_AUG,val,data/selected/landmarks/doctor/17023_aug_5_aug_12_speed_fast.npy,45,True
